"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"800","RT @catale7a: Resident Indians, FYI

If Joe Biden doesn't give way to an ambulance - not just American news media, but the entire populatio…",FALSE,0,NA,2022-12-02 02:22:01,FALSE,NA,"1598502719878463488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","academicidiot",8,TRUE,FALSE,NA,NA
"801","RT @StrikeDebt: Joe Biden just stabbed railroad workers in the back and tried to convince everyone he was ""fighting for the working class""…",FALSE,0,NA,2022-12-02 02:22:01,FALSE,NA,"1598502717244444672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PapaMojoJoeJoe",97,TRUE,FALSE,NA,NA
"802","RT @sallyhunt666: Honestly I really wish Bernie had gone after Biden much more aggressively in the primaries instead of being as nice as he…",FALSE,0,NA,2022-12-02 02:21:59,FALSE,NA,"1598502710906703875",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SocialistNeedia",8,TRUE,FALSE,NA,NA
"803","RT @ACTBrigitte: President Trump worked for free. Joe Biden is working for China.",FALSE,0,NA,2022-12-02 02:21:55,FALSE,NA,"1598502695207313409",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","billmanrique",1471,TRUE,FALSE,NA,NA
"804","RT @LeftyLiteral: @DashDobrofsky Joe Biden is a badass legislator and I am behind him 💯💙",FALSE,0,NA,2022-12-02 02:21:55,FALSE,NA,"1598502695060791297",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lenore_may",9,TRUE,FALSE,NA,NA
"805","RT @REVMAXXING: Joe Biden and Congress have infinite money for Ukraine 🇺🇦, but can't give railroad workers basic demands https://t.co/oyeeh…",FALSE,0,NA,2022-12-02 02:21:55,FALSE,NA,"1598502692451749889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","real_politic88",41,TRUE,FALSE,NA,NA
"806","RT @NEWSMAX: Florida Gov. Ron DeSantis would defeat President Joe Biden in a hypothetical 2024 matchup, according to a new survey of people…",FALSE,0,NA,2022-12-02 02:21:54,FALSE,NA,"1598502690283261953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeckyRicker638",269,TRUE,FALSE,NA,NA
"807","@JoeBiden @TheDemocrats Joe Biden is worm food since 2019",FALSE,0,"JoeBiden",2022-12-02 02:21:54,FALSE,"1598501975544549376","1598502689104617473","939091","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RooneRowan",0,FALSE,FALSE,NA,NA
"808","RT @RNCResearch: ""I'll take responsibility instead of blaming others.""
— Joe Biden, 2020 https://t.co/r3HiTV9CwO",FALSE,0,NA,2022-12-02 02:21:54,FALSE,NA,"1598502688613859329",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sharonsizelove",922,TRUE,FALSE,NA,NA
"809","RT @NEWSMAX: Florida Gov. Ron DeSantis would defeat President Joe Biden in a hypothetical 2024 matchup, according to a new survey of people…",FALSE,0,NA,2022-12-02 02:21:54,FALSE,NA,"1598502687867392002",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Lawsie1921",269,TRUE,FALSE,NA,NA
"810","RT @WhaleChart: Do you think Joe Biden and the democrats are behind FTX?",FALSE,0,NA,2022-12-02 02:21:53,FALSE,NA,"1598502683555598341",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeff58409144",82,TRUE,FALSE,NA,NA
